GEOID,donations,total,estimate
20601,6976,190404.72999999975,25517
20602,6758,109716.81999999996,26550
20603,12854,248108.6100000006,31975
20606,11,131.43,374
20607,6889,181393.81000000043,10843
20608,337,2569.720000000003,860
20609,61,2290,1151
20611,46,1206,1634
20612,21,399.17,203
20613,6436,170352.85000000012,14020
20615,25,633,421
20616,1703,38740.899999999994,6389
20617,274,7542.26,832
20618,313,6069.32,406
20619,2733,63659.01000000006,15052
20620,393,7357.65,1369
20621,66,967,960
20622,356,8922.109999999999,6887
20623,2075,33616.96000000001,2997
20624,60,795,1409
20625,454,9224.020000000004,646
20626,240,3636.8600000000006,304
20628,43,12163.26,477
20629,37,813,383
20630,371,24333.75,301
20632,21,2812.5,432
20634,1095,27256.079999999944,6478
20636,2316,58391.37,10805
20637,2083,40167.06999999999,5751
20639,3313,119571.28999999998,15793
20640,1569,24599.82999999998,10333
20645,199,10778.3,749
20646,5566,130374.95000000004,21951
20650,3964,144375.84000000023,14672
20653,3608,81705.0799999999,24274
20657,5067,125720.03000000009,19226
20658,288,10475.370000000004,848
20659,2061,66697.38,23312
20660,5,190,0
20662,316,3207.0199999999995,2876
20664,225,19794.23,3462
20667,37,1525.39,633
20670,100,2542.67,1441
20674,355,9889.67,848
20675,265,13192.1,2017
20676,4042,51759.59,3848
20677,666,19220.51,2416
20678,2380,49224.85999999996,12261
20680,87,6197.360000000001,934
20684,90,3067.24,1066
20685,2422,44961.41000000005,6942
20686,776,26377.35,1775
20687,80,2937.49,448
20688,3855,84676.29000000008,1749
20689,201,18325.74,2081
20690,697,10894.629999999992,905
20692,161,5585.110000000001,899
20693,226,5676.370000000001,833
20695,4407,98344.96999999994,8089
20701,127,5610.76,92
20705,8949,263127.96999999945,27663
20706,12313,314519.8699999994,43670
20707,16759,392772.42999999854,32798
20708,7135,155413.97000000026,27843
20710,645,28141.24,9553
20711,1572,67949.20999999996,7413
20712,4346,127500.21000000004,9608
20714,2108,41288.52999999997,4683
20715,17641,314771.77000000153,27556
20716,9976,277360.8199999999,22237
20720,17274,545108.1899999978,22971
20721,27247,1016134.5099999992,29730
20722,4938,57960.55000000015,5728
20723,12363,402577.18000000034,35411
20724,6276,110552.95999999986,17513
20732,4164,104842.46,9820
20733,1910,50651.11,2777
20735,15308,316990.6299999999,38220
20736,3030,72934.04000000002,9248
20737,3706,102120.56000000011,22295
20740,12587,317914.8899999996,31349
20742,56,12867.61,6726
20743,6852,165297.1299999999,37888
20744,31497,615052.9699999988,54925
20745,12754,230824.93999999977,27790
20746,5612,110835.93000000008,27041
20747,9223,156460.6300000003,40484
20748,12089,230580.97000000085,38904
20751,943,30918.42999999999,2091
20754,1806,52836.890000000014,7124
20755,718,13748.61,10873
20758,169,6653.169999999999,451
20759,4003,216717.4500000003,5311
20762,160,2821.08,3079
20763,1067,16640.289999999997,1635
20764,1593,58113.28999999995,3829
20765,376,18800.06,407
20769,7457,183612.53000000017,6222
20770,17073,470197.8199999965,24560
20772,24555,701566.209999997,45321
20774,28133,790564.2600000018,47165
20776,1344,43335.319999999985,3271
20777,2707,111532.35999999994,3687
20778,1436,39547.169999999984,2079
20779,687,29339.599999999988,993
20781,5853,231033.8899999996,11694
20782,12863,595571.0799999984,33398
20783,5720,339753.4999999998,45302
20784,5749,90245.51000000014,30270
20785,11413,374647.23999999976,38878
20794,2890,65081.25000000002,17939
20812,416,82029.63,309
20814,54366,3840965.980000051,29021
20815,77637,9090681.019999975,30664
20816,35071,3206491.790000002,16316
20817,65357,5935171.610000005,37315
20818,3976,339569.6300000002,1971
20832,15646,505974.4099999999,26437
20833,4572,170021.89000000042,7369
20837,4684,155442.2500000004,6287
20838,448,18843.38,302
20839,462,11704.82,97
20841,4010,161266.3100000001,11443
20842,978,55610.649999999994,1676
20850,45289,1625183.4800000193,53176
20851,5030,158464.17000000016,15489
20852,48307,1984718.029999996,46178
20853,19911,556389.1599999968,31061
20854,55150,4750407.0800000075,49189
20855,10620,442482.6699999997,15287
20860,4148,138927.70000000022,2855
20861,2729,124085.48999999998,1449
20862,260,16786.32,341
20866,6180,175550.99000000046,16365
20868,451,11939.11,780
20871,8598,204083.8700000006,18628
20872,7302,125311.22000000012,12603
20874,22381,527915.7199999968,61087
20876,9660,214333.43000000037,30778
20877,15286,371444.01,38423
20878,41096,1313016.679999994,63030
20879,10054,219295.58000000264,26164
20880,1356,52557.24000000001,547
20882,8651,261341.96000000025,13988
20886,16207,362243.20999999874,34834
20895,26497,1347975.3600000064,19026
20896,1962,161566.2600000002,775
20899,30,3050,295
20901,42989,1309525.8700000062,36278
20902,29875,1073108.0000000023,52908
20903,6587,250580.09999999992,27973
20904,41324,1477418.6700000064,55275
20905,12733,509001.05000000366,18662
20906,54095,1138991.140000007,70749
20910,60712,2979373.470000009,44301
20912,38778,1936275.090000004,26140
21001,9185,126335.17999999996,24752
21005,1513,7449.8,2872
21009,5538,94785.23000000004,29905
21010,1196,18019.26,211
21012,11344,448162.7999999995,21600
21013,1809,42460.45999999997,4768
21014,9571,216782.57000000024,36538
21015,7969,198034.8099999996,29199
21017,1139,18434.4,6983
21028,777,21243.45,2783
21029,5070,334097.21000000037,10895
21030,9939,375350.1199999992,24396
21031,10,589.24,0
21032,5033,231805.08,8084
21034,608,23530.29,3483
21035,6200,200449.85000000024,7957
21036,1189,69995.87,2112
21037,9471,376584.1499999987,21046
21040,2305,33320.56,24166
21042,28455,1050627.5999999992,41195
21043,20844,686790.2499999983,47351
21044,44569,1337506.6200000034,44256
21045,30660,803755.2300000013,40365
21046,11234,309389.19999999896,15655
21047,2633,69101.56999999999,12266
21048,2073,66157.87999999996,10276
21050,3563,70752.11000000012,18123
21051,461,25766.14,295
21052,16,551,211
21053,776,14091.339999999998,3225
21054,5833,159548.24000000028,11199
21056,98,38413,158
21057,2464,65720.03000000001,4232
21060,14209,173872.13999999993,34899
21061,10219,168692.45000000004,53860
21071,287,8471.130000000001,581
21074,2983,55540.70000000002,15166
21075,8984,224807.7100000003,33726
21076,6352,235382.90000000017,17442
21077,85,1464.38,276
21078,7808,212588.47000000055,18366
21082,459,13343.93,656
21084,1638,29954.660000000033,7603
21085,2745,55980.65999999996,16055
21087,656,20466.26,5394
21090,1933,50232.64000000003,9991
21093,22218,633944.1899999967,37996
21102,3317,51923.16000000006,11787
21104,4210,99374.20000000011,5762
21105,28,267,0
21108,6603,220072.7800000001,18782
21111,3969,93046.8800000003,5387
21113,16279,444059.96000000014,34473
21114,8848,236144.47000000044,27303
21117,23052,657696.399999998,59301
21120,2596,77234.65999999997,7095
21122,9609,221055.7499999993,61051
21128,1908,49255.929999999986,13985
21130,7,225,156
21131,2873,130327.89000000012,7282
21132,185,6295.84,3232
21133,8682,146954.52000000025,33299
21136,11483,323548.850000002,34177
21140,1294,55152.62999999996,3564
21144,11718,222529.8500000001,35335
21146,13148,487095.9399999995,27555
21152,1796,80268.00000000007,5462
21153,1329,41921.91000000001,447
21154,568,14000.14,5804
21155,578,15340.34,2532
21156,40,1304.9999999999998,316
21157,8691,202460.4400000002,37749
21158,4343,99560.21000000004,20906
21160,285,5854.12,2933
21161,1036,26816.29999999997,5601
21162,705,11934.46,4331
21163,4816,171400.08000000005,7030
21201,6643,366729.6200000009,17256
21202,6148,382084.8500000009,21784
21204,12273,511605.4999999996,21545
21205,1021,23248.110000000015,16239
21206,6518,111044.22,52020
21207,13152,198563.10000000015,48872
21208,21511,700900.8699999987,35266
21209,26774,644100.539999995,28309
21210,25454,1443604.7700000436,15553
21211,13357,433904.2699999998,16370
21212,25556,1146181.100000002,33431
21213,3715,75637.8300000001,31007
21214,7525,156481.40000000066,21392
21215,10084,148706.3900000006,58283
21216,3837,59446.779999999984,30179
21217,6787,338081.31999999844,33644
21218,31378,1018091.8099999998,47555
21219,1232,28739.510000000017,9550
21220,3341,75693.55000000031,41051
21221,3250,65432.59999999995,42078
21222,3776,62814.88999999995,55212
21223,1598,27742.830000000005,22392
21224,12042,379731.1799999997,49332
21225,2446,27074.09999999997,34363
21226,636,12090.19,6247
21227,4190,96694.33000000005,33589
21228,26381,597323.7399999986,48196
21229,8355,157636.48000000007,45921
21230,13266,623503.7299999964,34274
21231,7981,281612.8999999996,15854
21234,12937,250143.7600000003,68381
21236,5621,122992.59000000026,39707
21237,3793,79481.20000000007,30129
21239,11716,161538.66000000044,30424
21240,14,522,0
21244,9590,141657.7900000002,36394
21250,5,206,2367
21251,9,134,965
21252,9,120,2383
21286,12808,415242.91999999946,19849
21401,36733,1649639.400000007,38315
21402,172,9181.1,6669
21403,25115,1333098.2500000054,31377
21405,1726,51961.95999999998,337
21409,11407,445531.4299999982,19931
21502,7293,116830.50000000042,42391
21520,197,8828.130000000001,2200
21521,53,890.1600000000001,1102
21523,6,46,188
21524,5,7,775
21529,33,886,434
21530,475,11216.91,1859
21531,191,4804.52,1868
21532,1754,43536.08000000003,14726
21536,466,10208.63,4123
21538,17,85,410
21539,28,785.4200000000001,2606
21540,1,56.18,102
21541,381,19362.08,1421
21545,55,972.24,1740
21550,1946,54859.00000000003,14077
21555,229,5493.5,1586
21557,71,1640.1999999999998,1410
21561,752,17515.689999999995,2464
21562,202,2810.76,3519
21601,15791,628699.1599999968,23399
21607,2,350,737
21610,279,3615.8,433
21612,232,8710.380000000001,381
21613,3942,120616.02999999994,17132
21617,3054,57825.34999999997,10570
21619,3573,96216.21999999994,5964
21620,7513,422426.1699999993,12850
21622,17,546.72,854
21623,282,7916.639999999999,1989
21624,164,8929.2,175
21625,258,8292.2,2583
21627,4,28,0
21628,119,2211.88,448
21629,1206,24259.210000000006,9396
21631,94,3551.46,2814
21632,758,8827.550000000001,6078
21635,611,12718.539999999995,1983
21636,58,1112,1015
21638,1114,33617.01,5130
21639,559,10110.96,5279
21640,141,3286.5,1499
21641,17,197,88
21643,740,13598.149999999998,5864
21645,196,5711.840000000006,1261
21647,635,15435.859999999995,288
21648,4,240,175
21649,100,2484.55,1935
21650,222,8666,246
21651,297,5999.56,2894
21652,249,5809.5,118
21653,75,1085,143
21654,6312,175200.69,986
21655,427,15772.760000000002,4747
21657,61,2836.7200000000003,910
21658,916,52629.99000000004,3987
21659,1,10,1356
21660,722,14024.06,4292
21661,1339,25956.929999999997,2487
21662,821,71666.80999999998,418
21663,3198,165478.48000000045,3424
21664,37,803,445
21665,141,8093.42,215
21666,3570,104492.80000000018,12836
21667,445,7539.389999999999,292
21668,148,2688.7899999999995,1816
21669,146,4473.520000000004,254
21671,397,13720.66,984
21672,6,92,161
21673,437,18756.35,3270
21676,78,9237.36,424
21677,28,1214,446
21678,1059,22807.97999999999,1842
21679,213,5971.209999999999,289
21701,24907,631639.1800000038,37017
21702,17174,430403.05999999936,41815
21703,8726,203219.95000000024,37473
21704,5672,213888.01000000007,16887
21705,449,9141.1,3
21710,1509,45716.58000000003,4859
21711,30,741,1076
21713,1829,40567.68999999998,10728
21714,426,15300.23,216
21716,2201,47591.569999999985,5078
21717,97,3016.26,77
21718,165,4618.8,151
21719,115,1636.0099999999998,1002
21722,248,4822.030000000004,5748
21723,214,7010.54,759
21727,606,16539.529999999995,6792
21733,95,2380.62,897
21734,137,2700,816
21737,1141,42184.98,2462
21738,2133,91235.83999999994,3827
21740,9084,156266.82999999897,61768
21742,9377,180980.25000000055,33483
21750,1588,25647.73999999999,3694
21754,3459,99558.51999999968,6667
21755,2271,65008.77999999997,5603
21756,706,23079.649999999976,3056
21757,121,3157.34,2793
21758,1923,35589.54000000006,5127
21762,127,4213.839999999999,202
21766,28,1177.77,483
21767,79,3614.53,650
21769,3776,108657.45999999992,11629
21770,1985,51007.11,5513
21771,8933,209328.0900000004,29901
21773,1692,26795.68000000001,5431
21774,5176,144050.66000000012,13092
21776,1182,21786.81,5516
21777,720,13418.1,1868
21778,187,2955.6699999999983,909
21779,475,6884.26,1032
21780,227,6613.8499999999995,1614
21781,2,110,153
21782,1239,23007.480000000003,4495
21783,1072,22073.15,8894
21784,9655,257843.1300000003,37365
21787,944,30285.629999999997,10173
21788,2817,109285.4999999998,11910
21790,5,349.24,157
21791,1283,18969.599999999995,5245
21793,2311,63179.49999999996,10416
21794,648,27815.850000000013,2277
21795,1602,25785.01000000001,9147
21797,3224,169015.33999999994,8873
21798,331,18457.95,2057
21801,4484,130242.52999999998,29866
21802,194,2387.96,90
21804,7964,177007.2200000002,40877
21810,3,90,814
21811,9781,276675.0200000005,24071
21813,1012,18157.769999999997,2672
21814,274,5105.589999999998,268
21817,312,6336.919999999993,4515
21821,155,2020.34,871
21822,632,12221.479999999998,1687
21824,16,166,101
21826,717,10358.839999999998,5325
21829,17,435,401
21830,383,9341.89,4060
21835,19,79,337
21837,509,5382.609999999997,3200
21838,55,1579,1657
21840,59,936.9400000000002,438
21841,349,6055.21,1580
21842,2437,52256.51999999999,10655
21849,541,11445.820000000002,3577
21850,110,1634.26,2935
21851,810,13798.000000000004,6949
21853,555,8938.869999999994,11957
21856,221,2715.48,875
21861,42,1238.16,689
21862,2,20,90
21863,778,15254.77,4657
21864,59,2239.66,548
21865,284,5664.640000000003,594
21867,3,104,23
21869,178,1823.8399999999983,1145
21871,135,2733.2100000000005,2198
21872,51,683.82,379
21874,139,1668.7499999999998,1874
21875,853,14828.73,6676
21901,2086,51409.42999999997,16790
21902,44,410,215
21903,1147,15152.06,5947
21904,1461,27753.210000000003,7075
21911,1120,18688.95999999996,11130
21912,119,4150.6,1139
21913,93,2956.27,880
21914,114,2967.6400000000003,860
21915,792,16423.720000000012,2949
21916,23,382,44
21917,167,6169.52,2127
21918,604,11263.31,3692
21919,995,19727.17,2919
21920,16,331,491
21921,6975,152703.25000000015,46162
21930,55,2363,132
